gene1|gene2|experiment_type|reference
SMAD4|SMAD9|yeast 2-hybrid|16189514,15231748
VIL1|ACTG1|in vitro|3510866,6893424
TMSB4X|ACTG1|in vitro;in vivo|15163409,10848969,9153421,8630056,8617195
AP2M1|DVL2|yeast 2-hybrid|16189514
BCAP31|ACTG1|in vivo|10958671
TMSB4Y|ACTG1|in vitro|8416954
MAP1A|ACTG1|in vitro|7820861
AP2M1|IKZF1|yeast 2-hybrid|16189514
NR3C2|ACTG1|in vitro|8612804
PLEC1|ACTG1|in vitro|9808630
DYNLL1|ACTG1|in vitro|14760703
VASP|ACTG1|in vitro;in vivo|12372613
AP2M1|FXR2|yeast 2-hybrid|16189514
AP2M1|TBC1D5|yeast 2-hybrid|16189514
PLD1|ACTG1|in vitro;in vivo|12388543
AP2M1|DPPA2|yeast 2-hybrid|16189514
FHOD1|ACTG1|in vivo|12665555
MYO1A|ACTG1|in vitro|11474115
CAP2|ACTG1|in vivo|8761950
SCIN|ACTG1|in vitro|1331119
CAPZA3|ACTG1|in vitro|12029070
PPP1R9A|ACTG1|in vitro;in vivo|9362513,12052877
LGALS13|ACTG1|in vitro|15009185
DSTN|ACTG1|in vitro|8399167
ADRA1D|FLNC|yeast 2-hybrid|15525470
ADRA1B|FLNC|yeast 2-hybrid|15525470
ADRA1A|FLNC|yeast 2-hybrid|15525470
CAPN3|FLNC|in vitro;in vivo|14506720
FURIN|FLNC|in vitro;in vivo;yeast 2-hybrid|9412467
INPPL1|FLNC|in vitro;in vivo;yeast 2-hybrid|11739414
PCBP2|FLNC|in vivo;yeast 2-hybrid|8871564
MAP2K4|FLNC|in vitro;in vivo;yeast 2-hybrid|9006895
SGCD|FLNC|in vitro;in vivo;yeast 2-hybrid|10629222,14506720
MYOT|FLNC|in vivo;yeast 2-hybrid|11038172
MYOZ1|FLNC|in vitro;in vivo;yeast 2-hybrid|10984498,11171996
PHLDB2|FLNC|in vitro;in vivo|12376540
SGCG|FLNC|in vitro;in vivo;yeast 2-hybrid|10629222
KCND2|FLNC|in vitro;yeast 2-hybrid|11102480
NPHP1|FLNC|in vitro;in vivo;yeast 2-hybrid|12006559
MYOZ3|FLNC|in vitro;in vivo|11842093
ADORA2A|ACTN2|in vitro|12837758
ANG|ACTN2|in vitro;in vivo;yeast 2-hybrid|15737636
UTRN|ACTN2|in vitro|12006649
SELE|ACTN2|in vitro|8609175
GRIN2B|ACTN2|in vivo|9009191
KCNA4|ACTN2|in vitro;yeast 2-hybrid|11389904
ACTN3|ACTN2|in vitro;in vivo|10656685
DLG1|ACTN2|in vivo|12860415
ADAM12|ACTN2|in vitro;in vivo|10788519
DLG4|ACTN2|in vitro|12435606
DISC1|ACTN2|in vivo;yeast 2-hybrid|12812986
MYOZ2|ACTN2|in vitro;in vivo;yeast 2-hybrid|11842093
MYOZ1|ACTN2|in vitro;in vivo|10984498
KCNA5|ACTN2|in vitro;in vivo;yeast 2-hybrid|10812072,11389904
NCOA2|ACTN2|in vitro|15072553
PDLIM1|ACTN2|in vivo;yeast 2-hybrid|10861853
PALLD|ACTN2|in vivo|10931874
MYPN|ACTN2|yeast 2-hybrid|11309420
SSX2IP|ACTN2|yeast 2-hybrid|12446711
RAVER1|ACTN2|in vivo;yeast 2-hybrid|11724819
GRIN1|ACTN2|in vitro;in vivo;yeast 2-hybrid|9728925,9952395,9009191
LDB3|ACTN2|in vitro;in vivo|10391924
MAN2A2|CHD3|yeast 2-hybrid|16169070
TP53|PML|in vitro;in vivo|11704853,11025664,11080164
MXD1|PML|in vivo|11430826
CREBBP|PML|in vitro;in vivo|10077561,12142048,12622724,10610177,12234245
MAPK14|PML|in vitro;in vivo|15273249
SRF|PML|in vitro;in vivo|12622724
NCOR2|PML|in vivo|11585900
NCOR1|PML|in vitro;in vivo|11430826
HDAC1|PML|in vitro;in vivo|11430826,11259576
TDG|PML|in vitro;in vivo|15569683
SUMO1|PML|in vitro;in vivo|8806687,11080164,11948183,9756909
TP73|PML|in vivo|11832207
CCNT1|PML|in vitro;in vivo|12727882
PML|AURKA|in vivo|15749021
SUMO2|PML|in vivo|9452416
DAXX|PML|in vitro;in vivo;yeast 2-hybrid|10684855,10669754,10525530,12595526,15350595
TRIM24|PML|in vivo|10610177
CHFR|PML|in vitro;in vivo|15467728
RARA|PML|in vitro|12935927,1311253
HHEX|PML|in vivo|10597310
SENP2|PML|in vitro;in vivo|12419228
THRA|PML|in vivo|10610177
PAWR|PML|in vitro;in vivo|12717420
TOPBP1|PML|in vivo|12773567
SIN3A|PML|in vitro;in vivo|11430826
RPL11|PML|in vitro;in vivo|15195100
ZBTB16|PML|in vitro;in vivo;yeast 2-hybrid|9294197,11175338
ANKRD2|PML|in vitro;in vivo|15136035
TRIM27|PML|in vivo;yeast 2-hybrid|9570750
PML|TRIM69|in vitro;in vivo|12837286
RFC1|RFC1|in vitro;in vivo|12192049
BRCA1|RFC1|in vivo|10783165
CEBPA|RFC1|in vivo|12509469
CDK4|RFC1|in vivo|10353443
RELA|RFC1|in vitro;in vivo|12509469
CCND1|RFC1|in vivo|10353443
PCNA|RFC1|in vitro;in vivo|12045192,12171929,8861969,8999859
TCEAL1|RFC1|in vivo|10353443
RFC3|RFC1|in vitro;in vivo|9488738,8692848
CASP3|RFC1|in vitro;in vivo|9235961,9351817
HDAC1|RFC1|in vitro;in vivo|12045192
BRD4|RFC1|in vitro;in vivo|12192049
AP2M1|RTDR1|yeast 2-hybrid|16189514
BMP6|ACVR2A|in vivo|10504300
BMP7|ACVR2A|in vitro;in vivo|9748228,12667445
ENG|ACVR2A|in vivo|9872992
INHBA|ACVR2A|in vivo|11266516
INHBB|ACVR2A|in vivo|11266516
IGSF1|ACVR2A|in vivo|11266516
TGFBR3|ACVR2A|in vivo|10746731
GDF5|ACVR2A|in vivo|8702914
INHBC|ACVR2A|in vivo|12651901
GDF9|ACVR2A|in vivo|12135884
SYNJ2BP|ACVR2A|in vitro;yeast 2-hybrid|11882656,15451561
MAGI2|ACVR2A|in vitro;yeast 2-hybrid|10681527
STAT3|STAT3|in vitro;in vivo;yeast 2-hybrid|9647732,15223310,9373245
IFNAR1|STAT3|in vivo|8626489
BRCA1|STAT3|in vivo|11163768
CDKN1A|STAT3|in vivo|10764767
FGFR3|STAT3|in vitro;in vivo|11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
FGFR4|STAT3|in vitro;in vivo|11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
NR3C1|STAT3|in vivo|14522952,9388192
HSP90AA1|STAT3|in vivo|12559950
HCK|STAT3|in vitro;in vivo|11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
TCF1|STAT3|in vivo|11134330
IL2RB|STAT3|in vivo|10602027
IL2RA|STAT3|in vivo|10602027
JAK1|STAT3|in vitro;in vivo|11722592,11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,8272872,9566874
JAK2|STAT3|in vitro;in vivo|10925297,11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213
IL6R|STAT3|in vivo|10982829
LCK|STAT3|in vivo|10825200
MYOD1|STAT3|in vitro;in vivo|12947115
NFKB1|STAT3|in vitro;in vivo|12057007
RELA|STAT3|in vitro;in vivo|12057007
RET|STAT3|in vitro;in vivo|11536047,12637586,15485908
MET|STAT3|in vivo|9440692
